Illness Shock,0 km,1 km,2 km,3 km,4 km,5 km,6 km,7 km,8 km,9 km,10 km,mean
mean,-0.0288,-0.0012,0.006,-0.0168,-0.0316,-0.0268,-0.0334,-0.0458,-0.0494,-0.0552,-0.064,-0.031545455
,,,,,,,,,,,,
Q5 HFIAS,,,,,,,,,,,,
Dnd,-0.02,-0.024,-0.017,-0.019,-0.016,-0.001,-0.009,-0.035,-0.037,-0.051,-0.057,-0.026
,-0.86,-1.06,-0.78,-0.94,-0.77,-0.06,-0.48,-1.87,-2.04,-2.84,-3.2,
DnD + buffer,-0.017,-0.022,-0.023,-0.026,-0.028,-0.019,-0.034,-0.048,-0.048,-0.062,-0.063,-0.035454545
,-0.74,-0.98,-1.08,-1.28,-1.37,-0.98,-1.73,-2.54,-2.59,-3.36,-3.44,
DnD + wgts,-0.035,-0.06,-0.046,-0.07,-0.07,-0.057,-0.058,-0.089,-0.095,-0.096,-0.109,-0.071363636
,-1,-1.72,-1.46,-2.18,-2.24,-1.86,-1.87,-3.14,-3.41,-3.46,-4.01,
DnD + wgts + buffer,-0.044,-0.064,-0.063,-0.084,-0.084,-0.079,-0.087,-0.109,-0.112,-0.114,-0.119,-0.087181818
,-1.24,-1.83,-2,-2.59,-2.66,-2.55,-2.8,-3.81,-3.97,-4.06,-4.3,
PSM,-0.052,-0.037,-0.008,-0.013,-0.018,-0.012,-0.029,-0.026,-0.048,-0.075,-0.086,-0.036727273
,-1.4,-1.21,-0.32,-0.47,-0.73,-0.48,-0.96,-1.08,-2.08,-3.17,-3.06,
mean,-0.0336,-0.0414,-0.0314,-0.0424,-0.0432,-0.0336,-0.0434,-0.0614,-0.068,-0.0796,-0.0868,-0.051345455
,,,,,,,,,,,,
Q6 HFIAS,,,,,,,,,,,,
Dnd,0.051,0.049,0.045,0.042,0.047,0.05,0.042,0.018,0.011,0.008,-0.002,0.032818182
,-2.84,-2.77,-2.73,-2.62,-3.01,-3.23,-2.77,-1.23,-0.78,-0.59,-0.13,
DnD + buffer,0.054,0.051,0.041,0.037,0.04,0.038,0.024,0.007,0,-0.001,-0.008,0.025727273
,-3.03,-2.87,-2.53,-2.32,-2.53,-2.47,-1.61,-0.46,-0.03,-0.09,-0.56,
DnD + wgts,0.053,0.043,0.048,0.02,0.021,0.022,0.021,-0.002,-0.017,-0.018,-0.032,0.014454545
,-1.81,-1.49,-1.81,-0.71,-0.77,-0.82,-0.81,-0.09,-0.71,-0.76,-1.43,
DnD + wgts + buffer,0.05,0.041,0.037,0.01,0.01,0.006,0.001,-0.02,-0.031,-0.033,-0.042,0.002636364
,-1.71,-1.41,-1.43,-0.36,-0.38,-0.22,-0.04,-0.82,-1.32,-1.4,-1.83,
PSM,0.023,0.042,0.05,0.037,0.056,0.051,0.04,0.033,0.012,0.004,-0.004,0.031272727
,-0.61,-1.5,-2.09,-1.81,-2.79,-2.46,-2.1,-1.64,-0.56,-0.22,-0.15,
mean,0.0462,0.0452,0.0442,0.0292,0.0348,0.0334,0.0256,0.0072,-0.005,-0.008,-0.0176,0.021381818
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Q8 HFIAS,,,,,,,,,,,,
Dnd,0.027,0.025,0.02,0.015,0.019,0.019,0.021,0.023,0.024,0.024,0.024,0.021909091
,-2.51,-2.36,-1.98,-1.57,-1.99,-2.1,-2.3,-2.64,-2.77,-2.87,-2.83,
DnD + buffer,0.027,0.026,0.022,0.019,0.022,0.023,0.02,0.021,0.021,0.022,0.021,0.022181818
,-2.51,-2.42,-2.25,-1.96,-2.35,-2.45,-2.19,-2.43,-2.47,-2.54,-2.57,
DnD + wgts,0.026,0.02,0.021,0.002,0.005,0.006,0.006,0.019,0.024,0.024,0.023,0.016
,-2.72,-1.95,-2.25,-0.17,-0.39,-0.45,-0.46,-1.48,-1.94,-1.95,-1.92,
DnD + wgts + buffer,0.023,0.018,0.023,0.009,0.012,0.012,0.01,0.019,0.021,0.022,0.022,0.017363636
,-2.52,-1.81,-2.52,-0.66,-0.85,-0.91,-0.71,-1.47,-1.67,-1.72,-1.81,
PSM,0.029,0.033,0.031,0.026,0.03,0.03,0.03,0.027,0.019,0.022,0.029,0.027818182
,-2.79,-2.61,-2.69,-2.42,-2.61,-2.97,-2.7,-2.31,-2.41,-2.09,-2.22,
mean,0.0264,0.0244,0.0234,0.0142,0.0176,0.018,0.0174,0.0218,0.0218,0.0228,0.0238,0.021054545
,,,,,,,,,,,,
Q9 HFIAS,,,,,,,,,,,,
Dnd,0.022,0.022,0.021,0.017,0.017,0.018,0.019,0.013,0.012,0.016,0.015,0.017454545
,-2.46,-2.52,-2.56,-2.09,-2.21,-2.38,-2.44,-1.81,-1.67,-2.21,-2.21,
DnD + buffer,0.023,0.023,0.021,0.017,0.018,0.019,0.015,0.012,0.01,0.013,0.013,0.016727273
,-2.48,-2.54,-2.46,-2.04,-2.27,-2.4,-1.98,-1.64,-1.43,-1.88,-1.87,
DnD + wgts,0.024,0.025,0.026,0.012,0.014,0.014,0.014,0.01,0.011,0.012,0.012,0.015818182
,-3.59,-3.83,-4.22,-1.34,-1.49,-1.59,-1.59,-1.19,-1.37,-1.43,-1.42,
DnD + wgts + buffer,0.024,0.024,0.024,0.013,0.014,0.015,0.011,0.009,0.008,0.009,0.009,0.014545455
,-3.54,-3.74,-3.89,-1.39,-1.51,-1.59,-1.25,-1,-0.97,-1.06,-1.11,
PSM,0.023,0.023,0.019,0.011,0.013,0.016,0.013,0.015,0.009,0.015,0.021,0.016181818
,-2.33,-2.79,-2.07,-1.46,-1.73,-1.88,-1.56,-1.48,-1.23,-1.96,-1.7,
mean,0.0232,0.0234,0.0222,0.014,0.0152,0.0164,0.0144,0.0118,0.01,0.013,0.014,0.016145455
