"","b","se","b","se","b","se","b","se","b","se"
"Ratio of males to females (1 = 1:1 mix)",".003264",".0090715",".0063807",".009198","-.008107",".0089431","-.007352",".0090608","-.0070014",".0090236"
"Dependency Ratio",".0002188",".0001313",".0002156",".0001306",".000068",".0001346",".0001163",".0001367",".0000754",".0001347"
"hh male labor age>11 & <60",".0389039",".0142033",".0454602",".0145947",".0129868",".0140767",".0118707",".0143225",".0147399",".0140826"
"hh female labor age>11 & <60",".017979",".0157874",".0237897",".0159103",".0085228",".0136693",".0114804",".0138384",".0097738",".0137313"
"household size","-.0248461",".0088465","-.022319",".0091093","-.0048016",".0085187","1.53e-06",".0084636","-.0016354",".0085334"
"Membership in iddir (ROSCA)",".0860701",".0420882",".0879417",".0411631",".0112837",".0408096",".008704",".0410495","",""
"HH Distance in (KMs) to Nearest Major Road","-.0012394",".0012708","-.0012171",".0012922","-.0002769",".0011857","-.0001462",".0011819","-.0002138",".001238"
"HH Distance in (KMs) to Nearest Population Center with +20,000",".0014334",".0011047",".0015232",".0011031",".0005585",".0011344",".0003253",".0011478",".0005712",".0011279"
"HH Distance in (KMs) to Nearest Market","-.000445",".0007107","-.0004532",".0007012","-.0005776",".0006449","-.0006278",".0006356","-.0005438",".0006611"
"HH Distance in (KMs) to Nearest Border Crossing",".0000269",".000352","-7.33e-06",".0003477","-.0002639",".0003407","-.0003488",".0003372","-.0002596",".0003391"
"Non-FTF household","0",".","0",".","0",".","0",".","0","."
"FTF household","-.0140355",".0609543","-.0106204",".0603753","-.0502368",".0577007","-.055194",".0573259","-.0539957",".0577858"
"Tigray","-.2573283",".1097726","-.2833757",".1094327","-.0806025",".1188113","-.1000269",".1195217","-.0751515",".1203048"
"Afar","-.3294793",".1662939","-.384712",".1670304",".1638864",".1739623",".117981",".1735229",".1389266",".1708157"
"Amhara","-.0450223",".0881508","-.0570988",".0876015","-.1136667",".0962003","-.1367286",".0953832","-.1175502",".0957169"
"Oromia","0",".","0",".","0",".","0",".","0","."
"Somalie","-.0924565",".1512537","-.1186177",".1480327","-.1486943",".1423338","-.1837616",".1421057","-.1457115",".1461431"
"Benshagul Gumuz",".137717",".1492436",".1276402",".1489245","-.3983706",".1389977","-.4256106",".125891","-.3925217",".1381756"
"SNNP","-.1415686",".0886117","-.1620122",".0877199","-.1601018",".0865022","-.1735974",".0862727","-.1682003",".0881693"
"Gambelia","-.0245322",".1784378","-.0815003",".1779186","-.3753534",".1437577","-.4136807",".148218","-.3928568",".1469073"
"Harari","-.3430305",".1843271","-.3671133",".1821336","-.0176466",".206496","-.0653272",".2099157","-.0153843",".2065308"
"Diredwa","-.1337245",".188509","-.1584211",".1882516",".2526486",".1802224",".2187639",".1838534",".2546668",".1823949"
"Total tropical livestock units","","","-.0010468",".0048437","","","-.0015556",".0032119","",""
"wealthIndex","","",".0035467",".0159661","","",".0341904",".0179768","",""
"land owned in hectares","","",".0013159",".0018347","","",".0005477",".0018929","",""
"4 quantiles of areaField =1","","",".1219326",".0585865","","",".1320106",".0532203","",""
"4 quantiles of areaField =2","","",".1393893",".0467272","","",".0414007",".0442643","",""
"4 quantiles of areaField =3","","",".0912908",".0350249","","",".0201653",".0352911","",""
"4 quantiles of areaField =4","","","0",".","","","0",".","",""
"L2.Total tropical livestock units","","","","","","","","","-.0016829",".0044683"
"L2.wealthIndex","","","","","","","","",".0065869",".0143807"
"L2.land owned in hectares","","","","","","","","","-.0001491",".0011709"
"1L2.4 quantiles of areaField ","","","","","","","","",".0994165",".0575349"
"2L2.4 quantiles of areaField ","","","","","","","","",".0531608",".0462123"
"3L2.4 quantiles of areaField ","","","","","","","","",".0181823",".0330702"
"4bL2.4 quantiles of areaField ","","","","","","","","","0","."
"L2.Membership in iddir (ROSCA)","","","","","","","","",".031518",".0398803"
"Constant",".394604",".1788601",".3011395",".1827472",".7964785",".1753476",".7349704",".1789319",".7075726",".1798879"
"Observations","3457","","3455","","3335","","3221","","3305",""
